frame,class_id,class_name,confidence,x1,y1,x2,y2
4,5,speedboat,0.4742,488.8,313.5,662.5,393.0
5,5,speedboat,0.8316,496.7,313.6,653.8,393.2
6,5,speedboat,0.8472,501.7,315.3,649.4,391.0
7,5,speedboat,0.8457,501.7,315.4,649.5,391.0
8,5,speedboat,0.8681,506.5,313.6,662.9,391.6
9,5,speedboat,0.8701,511.5,316.5,656.3,392.2
10,5,speedboat,0.872,519.5,314.4,663.5,390.5
11,5,speedboat,0.8801,522.5,318.1,665.1,392.6
12,5,speedboat,0.8798,522.5,318.1,665.0,392.6
13,5,speedboat,0.9068,527.5,322.5,672.2,393.2
14,5,speedboat,0.9039,532.3,321.5,674.9,394.8
15,5,speedboat,0.901,538.8,324.1,679.6,395.3
16,5,speedboat,0.8948,543.2,325.4,685.9,394.9
17,5,speedboat,0.8947,543.1,325.4,685.9,394.9
18,5,speedboat,0.8855,547.8,324.4,689.9,396.7
19,5,speedboat,0.9181,553.6,327.9,699.3,397.9
20,5,speedboat,0.9023,558.2,327.3,698.2,397.3
21,5,speedboat,0.8944,562.2,329.1,702.7,399.6
22,5,speedboat,0.8945,562.2,329.1,702.7,399.6
23,5,speedboat,0.8816,569.3,330.1,708.2,397.4
24,5,speedboat,0.8805,572.0,331.0,713.2,400.3
25,5,speedboat,0.6153,575.4,336.2,718.6,402.0
26,5,speedboat,0.8787,579.8,335.6,722.4,403.5
27,5,speedboat,0.8788,579.8,335.5,722.4,403.5
28,5,speedboat,0.8777,584.0,335.3,727.3,405.5
29,5,speedboat,0.8719,587.5,336.0,733.6,406.6
30,5,speedboat,0.8139,592.9,336.5,737.9,407.0
31,5,speedboat,0.8976,596.7,337.1,739.9,407.6
32,5,speedboat,0.8965,596.6,337.1,740.0,407.5
33,5,speedboat,0.8656,598.8,337.6,743.4,408.2
34,5,speedboat,0.8676,603.3,340.6,751.9,411.9
35,5,speedboat,0.863,605.8,341.9,744.4,412.7
36,5,speedboat,0.856,609.0,344.0,745.2,413.5
37,5,speedboat,0.856,609.0,344.1,745.1,413.5
38,5,speedboat,0.8739,610.9,343.9,754.7,415.7
39,5,speedboat,0.8828,615.2,343.7,755.2,415.6
40,5,speedboat,0.8798,618.5,345.3,756.8,416.8
41,5,speedboat,0.8846,623.8,348.2,761.1,416.4
42,5,speedboat,0.8847,623.7,348.1,761.1,416.4
43,5,speedboat,0.8845,623.9,349.5,762.8,416.5
44,5,speedboat,0.8487,626.0,349.5,762.8,415.8
45,5,speedboat,0.9058,628.7,350.2,766.8,417.4
46,5,speedboat,0.9049,631.2,351.7,770.6,418.1
47,5,speedboat,0.9047,631.2,351.7,770.7,418.0
48,5,speedboat,0.9044,634.1,352.7,773.1,418.3
49,5,speedboat,0.9093,634.4,352.0,773.0,417.4
50,5,speedboat,0.9029,638.8,350.9,779.1,418.0
51,5,speedboat,0.8996,641.7,352.5,781.4,419.0
52,5,speedboat,0.8996,641.6,352.5,781.4,419.0
53,5,speedboat,0.8897,643.2,353.2,784.5,418.8
54,5,speedboat,0.8746,645.4,353.8,785.5,418.9
55,5,speedboat,0.87,646.1,354.0,789.7,419.9
56,5,speedboat,0.873,648.4,352.5,793.2,421.7
57,5,speedboat,0.8716,648.4,352.5,793.2,421.7
58,5,speedboat,0.9108,649.9,353.5,793.2,422.2
