frame,class_id,class_name,confidence,x1,y1,x2,y2
114,5,speedboat,0.8643,734.2,371.4,874.2,441.5
115,5,speedboat,0.8636,736.0,372.2,877.1,440.4
116,5,speedboat,0.8666,738.3,372.6,880.2,440.8
117,5,speedboat,0.8669,738.3,372.6,880.2,440.8
118,5,speedboat,0.8686,740.0,372.6,881.8,442.1
119,5,speedboat,0.8589,741.8,374.1,882.0,441.2
120,5,speedboat,0.8681,742.6,373.4,884.0,441.8
121,5,speedboat,0.8591,745.1,375.4,885.3,442.6
122,5,speedboat,0.8589,745.1,375.4,885.3,442.7
123,5,speedboat,0.8582,746.7,374.4,888.9,442.2
124,5,speedboat,0.7318,748.4,375.3,888.1,443.0
125,5,speedboat,0.8745,748.6,374.3,889.6,444.4
126,5,speedboat,0.8684,751.2,374.0,891.2,443.5
127,5,speedboat,0.8684,751.2,374.0,891.1,443.5
128,5,speedboat,0.8705,751.7,374.7,891.8,443.3
129,5,speedboat,0.8712,753.3,374.4,891.8,443.2
130,5,speedboat,0.8695,752.6,374.2,891.9,443.7
131,5,speedboat,0.8542,755.4,373.8,893.7,443.6
132,5,speedboat,0.8538,755.4,373.8,893.7,443.6
133,5,speedboat,0.857,757.6,374.0,896.5,444.3
134,5,speedboat,0.8672,759.7,374.5,898.6,443.4
135,5,speedboat,0.8483,761.0,374.9,900.6,443.9
136,5,speedboat,0.8628,763.4,375.2,904.4,442.4
137,5,speedboat,0.8629,763.4,375.2,904.5,442.4
138,5,speedboat,0.8479,764.7,376.1,907.4,442.4
139,5,speedboat,0.8508,766.0,376.6,907.2,443.0
140,5,speedboat,0.8454,765.6,377.6,906.1,443.0
141,5,speedboat,0.852,768.9,378.4,906.0,442.5
142,5,speedboat,0.8519,768.9,378.4,906.0,442.5
143,5,speedboat,0.842,770.4,378.6,909.2,443.0
144,5,speedboat,0.8569,771.9,378.6,908.1,444.3
145,5,speedboat,0.8567,772.7,379.4,910.9,444.5
146,5,speedboat,0.7571,774.3,377.0,911.6,446.0
147,5,speedboat,0.8,774.3,377.0,911.7,446.0
148,5,speedboat,0.8762,776.4,378.1,915.6,445.9
149,5,speedboat,0.8759,776.8,378.7,915.9,445.4
150,5,speedboat,0.7123,775.3,379.6,917.4,446.1
151,5,speedboat,0.8636,779.5,378.7,917.3,444.1
152,5,speedboat,0.8639,779.5,378.8,917.3,444.1
153,5,speedboat,0.8649,781.7,379.4,918.6,444.9
154,5,speedboat,0.8611,783.6,378.8,922.6,444.8
